movie_local,target_local,score,label
2852,2852,0.36345651745796204,1
2852,2029,0.3796558678150177,0
2852,1446,0.3662557005882263,0
2852,3210,0.3690786361694336,0
2852,101,0.364460825920105,0
2852,203,0.39361506700515747,0
2852,2819,0.3864471912384033,0
2852,3127,0.37099355459213257,0
2852,1279,0.35372060537338257,0
2852,4166,0.3535918593406677,0
2852,3305,0.3538092374801636,0
2852,3765,0.3714796006679535,0
2852,2949,0.35077103972435,0
2852,2316,0.3690815269947052,0
2852,567,0.39070403575897217,0
2852,771,0.49547019600868225,0
2852,2569,0.3590352535247803,0
2852,749,0.4000397324562073,0
2852,2258,0.4060312807559967,0
2852,1090,0.4216013550758362,0
1674,1674,0.4167470932006836,1
1674,2725,0.3778589963912964,0
1674,2403,0.35943180322647095,0
1674,2539,0.4320994019508362,0
1674,1746,0.3907172679901123,0
1674,956,0.43076831102371216,0
1674,3225,0.37979626655578613,0
1674,1256,0.3721572756767273,0
1674,3514,0.3802354335784912,0
1674,2097,0.3603038787841797,0
1674,823,0.3644176125526428,0
1674,3242,0.3690752387046814,0
1674,2206,0.3995530605316162,0
1674,3931,0.3730045557022095,0
1674,3715,0.3742881417274475,0
1674,2891,0.378823459148407,0
1674,2511,0.3771110773086548,0
1674,3605,0.35946840047836304,0
1674,62,0.3751905560493469,0
1674,2581,0.42395520210266113,0
2613,2613,0.36879342794418335,1
2613,2695,0.35995373129844666,0
2613,691,0.37364310026168823,0
2613,3134,0.3663949966430664,0
2613,2679,0.3717769682407379,0
2613,2846,0.3676524758338928,0
2613,960,0.36552655696868896,0
2613,3971,0.35605159401893616,0
2613,24,0.3670476973056793,0
2613,2896,0.36800360679626465,0
2613,164,0.38578084111213684,0
2613,1460,0.3594411015510559,0
2613,2567,0.42959272861480713,0
2613,2765,0.3655523657798767,0
2613,267,0.3613741993904114,0
2613,806,0.41283273696899414,0
2613,1075,0.3633852005004883,0
2613,3933,0.38271886110305786,0
2613,2509,0.3647443354129791,0
2613,2342,0.3696647882461548,0
2715,2715,0.3565707206726074,1
2715,1759,0.36862772703170776,0
2715,3669,0.367594838142395,0
2715,1788,0.35693246126174927,0
2715,278,0.41562122106552124,0
2715,683,0.382815420627594,0
2715,1325,0.35944026708602905,0
2715,1870,0.41141438484191895,0
2715,1229,0.41762226819992065,0
2715,2642,0.3599138557910919,0
2715,979,0.3720007538795471,0
2715,3103,0.37195664644241333,0
2715,2665,0.3674723505973816,0
2715,3307,0.3673347234725952,0
2715,864,0.36542195081710815,0
2715,3989,0.3622061014175415,0
2715,1609,0.3642627000808716,0
