query_row,movie_local,rank_of_positive,candidate_position,candidate_id,link_local,raw_score,score,label
0,2852,13,0,0,2852,0.881476640701294,0.70712810754776,1
0,2852,13,1,1,2029,0.830193281173706,0.696395754814148,0
0,2852,13,2,2,1446,1.008704423904419,0.7327665090560913,0
0,2852,13,3,3,3210,1.0025732517242432,0.7315641641616821,0
0,2852,13,4,4,101,0.8730528354644775,0.7053804993629456,0
0,2852,13,5,5,203,0.9360505938529968,0.7183011770248413,0
0,2852,13,6,6,2819,0.8001518249511719,0.6900069713592529,0
0,2852,13,7,7,3127,0.937703013420105,0.7186354398727417,0
0,2852,13,8,8,1279,0.918043851852417,0.7146433591842651,0
0,2852,13,9,9,4166,0.9550825357437134,0.7221361398696899,0
0,2852,13,10,10,3305,0.9949620962142944,0.7300669550895691,0
0,2852,13,11,11,3765,1.1365761756896973,0.7570504546165466,0
0,2852,13,12,12,2949,0.8408014178276062,0.6986339688301086,0
0,2852,13,13,13,2316,0.759643018245697,0.6812762022018433,0
0,2852,13,14,14,567,0.8952569961547852,0.7099738717079163,0
0,2852,13,15,15,771,0.7857009172439575,0.6869075298309326,0
0,2852,13,16,16,2569,1.061306118965149,0.7429401278495789,0
0,2852,13,17,17,749,1.227696180343628,0.7734150886535645,0
0,2852,13,18,18,2258,1.3062429428100586,0.7868838310241699,0
0,2852,13,19,19,1090,0.8435701727867126,0.6992166042327881,0
1,1674,14,0,20,1674,0.8153581023216248,0.6932501196861267,1
1,1674,14,1,21,2725,0.7911020517349243,0.6880679130554199,0
1,1674,14,2,22,2403,0.6971949338912964,0.6675655245780945,0
1,1674,14,3,23,2539,1.1430171728134155,0.7582331895828247,0
1,1674,14,4,24,1746,1.0111616849899292,0.7332474589347839,0
1,1674,14,5,25,956,0.7376684546470642,0.6764857769012451,0
1,1674,14,6,26,3225,0.8430676460266113,0.6991109251976013,0
1,1674,14,7,27,1256,0.9167807102203369,0.7143856883049011,0
1,1674,14,8,28,3514,0.9803296327590942,0.7271736264228821,0
1,1674,14,9,29,2097,0.7944173812866211,0.6887789964675903,0
1,1674,14,10,30,823,0.9040497541427612,0.7117809653282166,0
1,1674,14,11,31,3242,0.7276411652565002,0.6742874383926392,0
1,1674,14,12,32,2206,0.822505533695221,0.694767951965332,0
