query_row,movie_local,rank_of_positive,candidate_position,candidate_id,genre_id,raw_score,score,label
0,2852,1,0,0,2,68.51954650878906,1.0,1
0,2852,1,1,1,1,54.24205780029297,1.0,0
0,2852,1,2,2,0,-4.453478813171387,0.011504125781357288,0
1,1674,1,0,3,2,62.033592224121094,1.0,1
1,1674,1,1,4,0,-4.200592994689941,0.014765402302145958,0
1,1674,1,2,5,1,48.469329833984375,1.0,0
2,2613,1,0,6,2,77.32054138183594,1.0,1
2,2613,1,1,7,0,-2.813204050064087,0.05661480873823166,0
2,2613,1,2,8,1,63.84048843383789,1.0,0
3,2715,3,0,9,0,-3.810880184173584,0.021649615839123726,1
3,2715,3,1,10,2,66.99421691894531,1.0,0
3,2715,3,2,11,1,53.01579666137695,1.0,0
4,2019,1,0,12,2,69.33415222167969,1.0,1
4,2019,1,1,13,0,-3.7411413192749023,0.02317708544433117,0
4,2019,1,2,14,1,55.73736572265625,1.0,0
5,141,3,0,15,0,-3.6055383682250977,0.026453983038663864,1
5,141,3,1,16,2,72.33464050292969,1.0,0
5,141,3,2,17,1,58.49589157104492,1.0,0
6,1550,3,0,18,0,-4.23692512512207,0.0142460772767663,1
6,1550,3,1,19,1,48.3857307434082,1.0,0
6,1550,3,2,20,2,62.47593688964844,1.0,0
7,621,2,0,21,1,51.60102081298828,1.0,1
7,621,2,1,22,0,-3.8233866691589355,0.021386295557022095,0
7,621,2,2,23,2,65.239013671875,1.0,0
8,1076,2,0,24,1,57.0052375793457,1.0,1
8,1076,2,1,25,2,71.81614685058594,1.0,0
8,1076,2,2,26,0,-4.1566572189331055,0.015418368391692638,0
9,2045,2,0,27,1,59.19770812988281,1.0,1
9,2045,2,1,28,2,72.7928466796875,1.0,0
9,2045,2,2,29,0,-2.692676067352295,0.06340691447257996,0
10,2494,2,0,30,1,47.52756118774414,1.0,1
10,2494,2,1,31,2,60.6065673828125,1.0,0
10,2494,2,2,32,0,-4.146543502807617,0.015572656877338886,0
11,1056,3,0,33,0,-3.80835223197937,0.021703224629163742,1
11,1056,3,1,34,2,68.6737289428711,1.0,0
11,1056,3,2,35,1,54.492855072021484,1.0,0
12,2615,2,0,36,1,42.11944580078125,1.0,1
12,2615,2,1,37,0,-5.27094030380249,0.005112504120916128,0
12,2615,2,2,38,2,56.951698303222656,1.0,0
13,3297,2,0,39,1,50.24488830566406,1.0,1
13,3297,2,1,40,0,-4.341844081878662,0.012845359742641449,0
13,3297,2,2,41,2,64.44013214111328,1.0,0
14,369,2,0,42,1,45.39011001586914,1.0,1
14,369,2,1,43,0,-4.343809127807617,0.012820465490221977,0
14,369,2,2,44,2,59.535552978515625,1.0,0
15,443,1,0,45,2,71.81668853759766,1.0,1
15,443,1,1,46,0,-2.9331624507904053,0.05053836107254028,0
15,443,1,2,47,1,58.592430114746094,1.0,0
16,1637,3,0,48,0,-3.7509758472442627,0.022955473512411118,1
16,1637,3,1,49,1,55.60649108886719,1.0,0
16,1637,3,2,50,2,70.32929992675781,1.0,0
17,3840,1,0,51,2,62.939605712890625,1.0,1
17,3840,1,1,52,1,49.19390106201172,1.0,0
17,3840,1,2,53,0,-3.9601144790649414,0.018704408779740334,0
18,2720,2,0,54,1,53.348533630371094,1.0,1
18,2720,2,1,55,0,-3.3534650802612305,0.033781878650188446,0
18,2720,2,2,56,2,66.91326904296875,1.0,0
19,2776,1,0,57,2,57.227447509765625,1.0,1
19,2776,1,1,58,0,-4.179795265197754,0.015071028843522072,0
19,2776,1,2,59,1,44.11317443847656,1.0,0
20,145,3,0,60,0,-3.5956568717956543,0.02670966647565365,1
20,145,3,1,61,2,71.19844055175781,1.0,0
20,145,3,2,62,1,57.261085510253906,1.0,0
21,999,1,0,63,2,67.04409790039062,1.0,1
21,999,1,1,64,0,-4.534191131591797,0.010621558874845505,0
21,999,1,2,65,1,52.315589904785156,1.0,0
22,1975,1,0,66,2,64.1732177734375,1.0,1
22,1975,1,1,67,1,50.51354217529297,1.0,0
22,1975,1,2,68,0,-4.202418804168701,0.014738866128027439,0
23,30,3,0,69,0,-3.991487979888916,0.018137173727154732,1
23,30,3,1,70,2,66.8751220703125,1.0,0
23,30,3,2,71,1,52.620086669921875,1.0,0
24,144,3,0,72,0,-4.316624641418457,0.01316911168396473,1
24,144,3,1,73,1,48.12391662597656,1.0,0
24,144,3,2,74,2,62.22041320800781,1.0,0
25,3119,2,0,75,1,58.276573181152344,1.0,1
25,3119,2,1,76,0,-3.8071446418762207,0.0217288788408041,0
25,3119,2,2,77,2,72.79934692382812,1.0,0
26,3975,2,0,78,1,58.52299499511719,1.0,1
26,3975,2,1,79,2,71.64179992675781,1.0,0
26,3975,2,2,80,0,-2.792422294616699,0.05773503705859184,0
27,2340,1,0,81,2,58.211185455322266,1.0,1
27,2340,1,1,82,0,-4.432354927062988,0.011746836826205254,0
27,2340,1,2,83,1,44.51074981689453,1.0,0
28,1919,2,0,84,1,43.96992492675781,1.0,1
28,1919,2,1,85,0,-3.9759931564331055,0.0184151791036129,0
28,1919,2,2,86,2,57.06007766723633,1.0,0
29,2412,3,0,87,0,-3.936892509460449,0.019135436043143272,1
29,2412,3,1,88,1,50.4623908996582,1.0,0
29,2412,3,2,89,2,64.1696548461914,1.0,0
30,2100,2,0,90,1,50.75886917114258,1.0,1
30,2100,2,1,91,0,-3.9902358055114746,0.01815948635339737,0
30,2100,2,2,92,2,64.70172119140625,1.0,0
31,3571,1,0,93,2,61.248931884765625,1.0,1
31,3571,1,1,94,0,-4.86362361907959,0.007663270924240351,0
31,3571,1,2,95,1,46.651512145996094,1.0,0
32,933,3,0,96,0,-4.5867390632629395,0.01008331123739481,1
32,933,3,1,97,1,49.301109313964844,1.0,0
32,933,3,2,98,2,63.77199172973633,1.0,0
33,3475,1,0,99,2,64.73228454589844,1.0,1
33,3475,1,1,100,1,50.27532958984375,1.0,0
33,3475,1,2,101,0,-4.300411701202393,0.013381481170654297,0
34,888,1,0,102,2,67.89616394042969,1.0,1
34,888,1,1,103,1,53.6195182800293,1.0,0
34,888,1,2,104,0,-4.6713361740112305,0.009272961877286434,0
35,2916,3,0,105,0,-4.37130880355835,0.012477048672735691,1
35,2916,3,1,106,2,66.26333618164062,1.0,0
35,2916,3,2,107,1,51.75448989868164,1.0,0
36,3855,2,0,108,1,60.51972579956055,1.0,1
36,3855,2,1,109,0,-3.077657461166382,0.044038325548172,0
36,3855,2,2,110,2,73.7597885131836,1.0,0
37,1051,1,0,111,2,60.54438018798828,1.0,1
37,1051,1,1,112,1,46.497318267822266,1.0,0
37,1051,1,2,113,0,-4.121728897094727,0.015957675874233246,0
38,295,3,0,114,0,-3.7340121269226074,0.02333904057741165,1
38,295,3,1,115,2,72.48716735839844,1.0,0
38,295,3,2,116,1,58.13272476196289,1.0,0
39,3702,1,0,117,2,53.83974838256836,1.0,1
39,3702,1,1,118,1,40.15248107910156,1.0,0
39,3702,1,2,119,0,-4.861189365386963,0.007681804243475199,0
40,3074,2,0,120,1,49.110782623291016,1.0,1
40,3074,2,1,121,0,-4.9212422370910645,0.007237308658659458,0
