query_row,movie_local,rank_of_positive,candidate_position,candidate_id,genre_id,raw_score,score,label
0,2852,3,0,0,2,-1.0986061096191406,0.2500011622905731,1
0,2852,3,1,1,1,44.23320770263672,1.0,0
0,2852,3,2,2,0,33.73310852050781,1.0,0
1,1674,3,0,3,2,-3.5306243896484375,0.028453323990106583,1
1,1674,3,1,4,0,33.88532638549805,1.0,0
1,1674,3,2,5,1,44.64300537109375,1.0,0
2,2613,3,0,6,2,-19.83654022216797,2.4271689103017025e-09,1
2,2613,3,1,7,0,35.41505432128906,1.0,0
2,2613,3,2,8,1,44.63582992553711,1.0,0
3,2715,2,0,9,0,35.33564758300781,1.0,1
3,2715,2,1,10,2,-8.789178848266602,0.00015234982129186392,0
3,2715,2,2,11,1,45.34477996826172,1.0,0
4,2019,3,0,12,2,18.313678741455078,1.0,1
4,2019,3,1,13,0,33.193294525146484,1.0,0
4,2019,3,2,14,1,43.43939971923828,1.0,0
5,141,2,0,15,0,35.75319290161133,1.0,1
5,141,2,1,16,2,0.8995933532714844,0.7108659148216248,0
5,141,2,2,17,1,46.49823760986328,1.0,0
6,1550,2,0,18,0,35.80501174926758,1.0,1
6,1550,2,1,19,1,47.077701568603516,1.0,0
6,1550,2,2,20,2,7.652139663696289,0.9995251893997192,0
7,621,1,0,21,1,46.49575424194336,1.0,1
7,621,1,1,22,0,36.0921516418457,1.0,0
7,621,1,2,23,2,7.314868927001953,0.9993348717689514,0
8,1076,1,0,24,1,46.4756965637207,1.0,1
8,1076,1,1,25,2,-4.252933502197266,0.01402300875633955,0
8,1076,1,2,26,0,36.572200775146484,1.0,0
9,2045,1,0,27,1,42.679927825927734,1.0,1
9,2045,1,1,28,2,27.53361701965332,1.0,0
9,2045,1,2,29,0,32.78636932373047,1.0,0
10,2494,1,0,30,1,46.941307067871094,1.0,1
10,2494,1,1,31,2,8.806304931640625,0.9998502731323242,0
10,2494,1,2,32,0,35.496192932128906,1.0,0
11,1056,2,0,33,0,35.601951599121094,1.0,1
11,1056,2,1,34,2,-10.1866455078125,3.766861846088432e-05,0
11,1056,2,2,35,1,45.48363494873047,1.0,0
12,2615,1,0,36,1,45.173622131347656,1.0,1
12,2615,1,1,37,0,34.97492980957031,1.0,0
12,2615,1,2,38,2,0.44345855712890625,0.609082818031311,0
13,3297,1,0,39,1,45.17776870727539,1.0,1
13,3297,1,1,40,0,35.74594497680664,1.0,0
13,3297,1,2,41,2,-25.10800552368164,1.2466132293109666e-11,0
14,369,1,0,42,1,46.05510711669922,1.0,1
14,369,1,1,43,0,35.459808349609375,1.0,0
14,369,1,2,44,2,15.013359069824219,0.9999996423721313,0
15,443,3,0,45,2,17.383853912353516,1.0,1
15,443,3,1,46,0,34.74342727661133,1.0,0
15,443,3,2,47,1,45.60721206665039,1.0,0
16,1637,2,0,48,0,33.311607360839844,1.0,1
16,1637,2,1,49,1,43.463661193847656,1.0,0
16,1637,2,2,50,2,7.93602180480957,0.9996424913406372,0
17,3840,3,0,51,2,5.858488082885742,0.99715256690979,1
17,3840,3,1,52,1,47.24589920043945,1.0,0
17,3840,3,2,53,0,37.004966735839844,1.0,0
18,2720,1,0,54,1,45.98061752319336,1.0,1
18,2720,1,1,55,0,35.54839324951172,1.0,0
18,2720,1,2,56,2,0.7528553009033203,0.6798005104064941,0
19,2776,3,0,57,2,28.699687957763672,1.0,1
19,2776,3,1,58,0,34.632179260253906,1.0,0
19,2776,3,2,59,1,44.01331329345703,1.0,0
20,145,2,0,60,0,33.590660095214844,1.0,1
20,145,2,1,61,2,-19.87754249572754,2.3296624629409735e-09,0
20,145,2,2,62,1,44.01488494873047,1.0,0
21,999,3,0,63,2,-21.374584197998047,5.213580123175632e-10,1
21,999,3,1,64,0,34.87266540527344,1.0,0
21,999,3,2,65,1,45.95186233520508,1.0,0
22,1975,3,0,66,2,22.989789962768555,1.0,1
22,1975,3,1,67,1,47.06116485595703,1.0,0
22,1975,3,2,68,0,34.8314323425293,1.0,0
23,30,2,0,69,0,33.69366455078125,1.0,1
23,30,2,1,70,2,6.058330535888672,0.9976671934127808,0
23,30,2,2,71,1,44.29933547973633,1.0,0
24,144,2,0,72,0,33.344390869140625,1.0,1
24,144,2,1,73,1,43.71601867675781,1.0,0
24,144,2,2,74,2,10.437337875366211,0.9999706745147705,0
25,3119,1,0,75,1,47.497283935546875,1.0,1
25,3119,1,1,76,0,35.86497497558594,1.0,0
