paper_id,conf_id,score
6,0,78.20077514648438
7,0,99.89872741699219
13,0,103.50508117675781
15,0,94.67564392089844
29,0,117.00493621826172
32,0,71.49474334716797
35,0,87.00019836425781
39,0,104.00941467285156
47,0,85.56710052490234
55,0,134.69728088378906
62,0,101.92333984375
63,0,113.01175689697266
78,0,116.03558349609375
82,0,138.93995666503906
88,0,100.63993072509766
93,0,179.2991943359375
105,0,96.08920288085938
108,0,88.461181640625
109,0,138.595703125
115,0,76.24552917480469
118,0,74.1856460571289
125,0,66.65901184082031
129,0,80.98225402832031
130,0,87.30580139160156
136,0,62.640174865722656
138,0,90.0304946899414
148,0,108.70524597167969
155,0,80.99112701416016
165,0,52.27083969116211
176,0,87.78868103027344
178,0,67.72675323486328
191,0,154.44444274902344
194,0,123.95057678222656
201,0,178.63351440429688
202,0,93.1611328125
203,0,68.59165954589844
207,0,96.24333190917969
219,0,109.05146789550781
222,0,97.10161590576172
224,0,125.18362426757812
234,0,143.59385681152344
236,0,102.18737030029297
247,0,32.44185256958008
250,0,100.02522277832031
255,0,93.091552734375
256,0,62.85384750366211
264,0,118.9701156616211
267,0,77.45121002197266
270,0,63.03702163696289
271,0,101.2288589477539
280,0,56.61002731323242
282,0,41.02671432495117
283,0,83.71916198730469
289,0,126.59491729736328
293,0,155.61265563964844
317,0,105.38462829589844
319,0,146.1659698486328
320,0,61.63147735595703
324,0,58.50946044921875
341,0,96.79334259033203
342,0,126.73371887207031
343,0,117.49273681640625
345,0,94.64249420166016
347,0,92.21796417236328
352,0,59.66599655151367
357,0,127.96194458007812
361,0,86.26973724365234
363,0,92.36494445800781
379,0,121.37223815917969
415,0,84.13150024414062
428,0,109.4996566772461
432,0,63.525856018066406
441,0,119.07093811035156
452,0,23.1242618560791
453,0,112.19271850585938
454,0,77.39186096191406
467,0,89.5093002319336
468,0,85.65969848632812
475,0,38.659339904785156
477,0,158.8716278076172
480,0,74.83686828613281
508,0,158.97027587890625
511,0,178.57518005371094
520,0,216.86825561523438
538,0,117.13406372070312
543,0,81.43977355957031
546,0,50.60304641723633
565,0,71.02378845214844
566,0,232.0609130859375
568,0,109.6993408203125
577,0,111.6951904296875
586,0,122.35203552246094
588,0,74.13728332519531
594,0,116.42296600341797
595,0,143.59764099121094
599,0,184.10882568359375
601,0,90.17066192626953
607,0,66.07856750488281
611,0,42.871337890625
616,0,85.49822998046875
620,0,125.58029174804688
621,0,106.58061218261719
622,0,96.9755859375
623,0,89.88876342773438
625,0,128.47634887695312
626,0,107.22000122070312
629,0,91.40818786621094
631,0,57.655555725097656
633,0,92.62549591064453
635,0,76.81900787353516
638,0,58.65769577026367
639,0,140.33226013183594
643,0,129.50701904296875
653,0,143.18771362304688
656,0,72.85862731933594
659,0,64.59977722167969
663,0,29.290447235107422
665,0,60.05913543701172
676,0,98.76181030273438
688,0,60.603946685791016
690,0,69.19585418701172
693,0,156.1859893798828
694,0,116.33704376220703
697,0,123.37837982177734
700,0,127.65082550048828
715,0,85.843994140625
729,0,57.14525604248047
